time,h_wspd_1,h_wspd_2,h_wspd_3,h_wspd_4,h_wspd_5,h_wspd_6,h_wdir_1,h_wdir_2,h_wdir_3,h_wdir_4,h_wdir_5,h_wdir_6,file_date,avg_pressure,avg_temp,avg_humidity,avg_dew_point
1,9.150,9.943,10.581,10.898,10.509,8.893,111.514,114.976,118.250,121.455,125.355,129.590,2015-09-29,1014.7,23.8,91.3,22.3
1,7.105,7.300,7.547,7.695,7.423,6.634,-116.672,-116.025,-124.661,-118.076,-115.898,-115.365,2015-09-30,1008.3,23.9,94.8,23.0
1,11.359,11.692,11.826,11.817,11.632,11.097,22.174,26.214,28.759,30.192,29.894,27.530,2015-10-01,1009.0,22.3,93.5,21.2
1,17.169,17.929,18.325,18.004,16.888,16.180,33.972,34.787,34.833,34.050,36.699,39.268,2015-10-02,NA,20.8,91.4,19.3
1,10.985,11.535,12.045,12.484,12.745,12.847,81.297,83.508,85.688,88.036,90.116,92.317,2015-10-03,1011.4,23.0,89.6,21.2
1,17.668,18.351,18.782,18.910,18.602,17.342,53.898,54.627,54.828,54.521,53.361,58.394,2015-10-04,1013.2,21.8,87.6,19.6
1,14.544,15.717,16.048,15.382,13.488,12.841,30.098,31.245,31.244,29.384,31.390,60.849,2015-10-05,1014.6,19.6,84.4,16.9
1,10.331,11.129,11.395,10.980,9.661,10.973,23.804,25.454,24.576,21.399,23.084,32.873,2015-10-06,1015.1,18.6,77.3,14.5
1,3.787,4.201,4.400,4.304,3.617,2.661,11.110,6.646,1.985,1.592,4.920,13.269,2015-10-07,1015.8,19.5,70.4,13.9
1,2.529,2.760,2.842,2.836,2.317,1.709,15.206,17.353,15.343,12.838,11.514,13.894,2015-10-08,1019.2,20.4,74.9,15.8
1,6.031,6.984,7.307,7.135,5.926,4.828,-129.098,-126.986,-122.687,-109.123,-113.016,-92.733,2015-10-09,1017.7,21.3,77.1,17.1
1,7.761,8.573,9.085,8.699,7.426,4.486,-8.452,-8.734,-9.566,-10.450,-11.270,1.368,2015-10-10,1015.7,19.4,77.1,15.3
1,7.326,8.152,8.420,8.156,7.378,4.161,30.908,30.264,29.460,26.954,22.574,47.543,2015-10-11,1014.4,18.3,78.5,14.5
1,2.413,3.270,3.584,3.358,2.647,1.433,48.679,48.013,39.759,32.281,28.161,23.227,2015-10-12,1011.3,19.1,69.7,13.4
1,8.054,8.575,8.953,9.007,8.709,7.753,-99.945,-100.378,-98.780,-99.281,-104.407,-111.907,2015-10-13,1005.5,20.7,79.4,17.0
1,6.023,6.443,6.751,6.863,6.781,6.221,-8.684,-8.487,-8.319,-8.601,-9.450,-7.154,2015-10-14,1008.9,20.2,64.4,13.0
1,3.445,3.741,3.894,3.722,3.312,2.340,-8.920,-10.021,-9.982,-12.875,-17.348,-27.102,2015-10-15,1016.1,18.8,54.3,9.3
1,6.657,7.022,7.231,7.002,6.526,5.133,-81.050,-81.286,-82.210,-82.027,-80.222,-81.368,2015-10-16,1017.7,18.4,59.8,10.4
1,4.055,4.551,4.758,4.596,4.299,3.067,-18.809,-20.942,-22.506,-24.283,-23.850,-31.854,2015-10-17,1020.5,16.9,47.5,5.6
1,8.919,9.687,10.112,9.825,9.055,7.289,-13.736,-15.194,-16.482,-16.867,-16.303,-10.856,2015-10-18,1025.1,11.8,54.8,3.0
1,6.750,7.343,7.504,7.284,6.584,5.227,11.109,7.155,5.365,3.941,6.733,7.919,2015-10-19,1030.7,10.8,50.7,0.9
1,4.116,4.528,4.921,4.503,3.978,2.713,-88.597,-89.832,-94.980,-96.987,-100.140,-77.599,2015-10-20,1029.3,14.0,53.4,4.6
1,3.477,3.747,4.228,3.992,3.540,7.045,-98.548,-93.806,-96.302,-99.851,-106.302,-115.498,2015-10-21,1027.6,18.0,67.5,11.8
1,4.212,4.620,5.107,5.102,4.426,6.893,-33.864,-80.732,-99.473,-102.768,-98.234,-79.436,2015-10-22,1025.3,18.6,83.9,15.8
1,6.485,7.140,7.817,7.767,7.433,6.380,-49.196,-45.586,-44.762,-43.974,-43.084,-39.545,2015-10-23,1021.6,18.2,78.6,14.4
1,6.007,6.626,6.799,6.593,6.069,4.923,77.353,73.784,72.417,70.820,70.858,74.240,2015-10-24,NA,16.6,61.1,9.1
1,3.364,4.014,4.140,3.762,3.382,2.784,-39.754,-22.183,-15.246,-28.828,-40.374,-50.388,2015-10-25,1020.9,18.2,75.1,13.7
1,8.917,9.658,10.135,9.878,9.302,6.462,32.295,30.214,26.490,26.910,28.987,10.255,2015-10-26,1025.6,16.4,70.1,10.9
1,10.556,11.198,11.469,11.351,10.920,7.838,82.823,80.431,78.834,77.671,77.613,67.100,2015-10-27,1027.7,17.4,72.3,12.3
1,11.203,12.444,13.210,13.416,12.977,13.516,26.796,24.149,22.371,22.085,18.263,5.894,2015-10-28,1017.6,19.8,87.8,17.7
1,9.907,10.804,11.547,11.783,11.149,9.687,-124.493,-123.395,-121.938,-120.732,-117.733,-113.936,2015-10-29,1007.1,19.9,89.8,18.1
1,6.906,7.415,7.896,7.889,7.343,5.417,-23.890,-25.156,-25.991,-26.912,-25.927,-27.257,2015-10-30,1013.4,17.3,63.7,10.2
1,3.451,3.557,3.784,3.844,3.578,2.860,19.246,9.748,6.668,-6.261,-23.817,-2.144,2015-10-31,NA,14.3,60.1,6.7
1,4.382,5.492,5.903,5.393,4.583,6.219,-133.740,-122.636,-121.649,-123.568,-121.160,-93.603,2015-11-01,1018.0,17.5,73.2,12.5
1,3.568,4.179,4.243,3.727,3.284,2.766,34.802,28.759,24.189,26.560,25.081,12.921,2015-11-02,NA,17.7,92.2,16.4
1,5.524,6.113,6.392,6.152,5.667,4.046,49.409,47.870,45.762,43.073,42.494,49.237,2015-11-03,1020.8,17.7,83.2,14.8
1,5.921,6.791,7.149,6.844,6.064,4.742,78.023,79.163,79.384,78.679,78.866,87.588,2015-11-04,NA,18.4,86.0,16.0
1,7.499,8.517,8.854,8.446,7.960,6.393,28.242,30.386,31.508,31.576,31.120,17.265,2015-11-05,1024.4,19.8,88.8,17.9
1,8.549,9.402,9.689,9.624,9.186,8.158,-132.535,-131.358,-130.424,-128.676,-122.730,-112.537,2015-11-06,1020.8,19.3,93.4,18.2
1,7.275,8.495,8.981,8.757,7.759,10.568,94.174,93.221,91.950,91.712,87.366,81.736,2015-11-09,1026.1,18.9,78.7,15.1
1,10.486,11.333,11.905,12.196,11.984,11.173,-19.219,-23.175,-23.462,-23.152,-23.338,-22.539,2015-11-10,1014.2,19.2,95.5,18.5
1,8.667,9.868,10.458,10.188,9.315,7.093,-33.994,-39.446,-43.466,-44.291,-43.690,-38.543,2015-11-11,1012.1,15.7,74.0,11.1
1,4.834,5.975,6.141,5.804,4.816,8.387,-67.564,-66.381,-93.819,-100.857,-114.749,-54.370,2015-11-12,NA,17.3,70.2,11.8
1,8.904,9.999,10.578,10.231,9.191,6.703,-79.099,-77.769,-78.701,-79.185,-82.024,-78.491,2015-11-13,1009.1,17.5,60.8,9.5
1,8.055,8.999,9.354,8.819,7.733,5.355,-36.189,-39.407,-41.443,-41.756,-38.525,-33.367,2015-11-14,NA,13.0,41.2,0.0
1,4.159,4.590,4.980,4.725,4.049,2.933,-23.322,-32.190,-37.800,-39.535,-35.758,-20.770,2015-11-15,1028.6,12.8,46.5,1.6
1,4.260,4.655,4.821,4.531,3.986,2.964,-24.358,-57.294,-78.770,-68.006,-37.893,-33.697,2015-11-16,1026.5,14.9,50.6,4.7
1,4.836,5.316,5.514,5.326,4.928,3.953,19.679,18.393,17.378,14.218,8.492,22.706,2015-11-17,1026.7,16.3,66.8,10.0
1,8.583,9.729,10.253,10.158,9.473,6.747,134.133,132.749,132.053,124.908,109.686,89.175,2015-11-18,1027.7,17.6,77.1,13.6
1,10.001,11.322,12.234,11.792,10.470,9.413,14.546,9.394,20.895,19.525,-24.410,-28.007,2015-11-19,1020.6,18.2,85.7,15.8
